Area Type,Availability,Location,Size,Society,Total Sqft,Balcony,Price,Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soionar,1725,2.0,130.0,6/17/22,1.0,6000.0,500.0,5 out of 5,Built Area,Seri Lingampally,Hyderabad,Unfurnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,1.0,50.0,7/6/22,3.0,50000.0,2290.0,4 out of 24,Super Area,"Nallagandla, Serilingampally",Hyderabad,Semi-Furnished,Bachelors,3.0,Contact Agent
Super built-up  Area,Ready To Move,Kannamangala,3 BHK,Sonue A,1574,1.0,93.34,7/10/22,3.0,40000.0,1900.0,4 out of 5,Carpet Area,"Himayath Nagar, NH 7",Hyderabad,Semi-Furnished,Bachelors/Family,3.0,Contact Agent
Built-up  Area,Ready To Move,Sanjay nagar,1 BHK,,965,1.0,32.0,7/10/22,3.0,30000.0,1600.0,2 out of 5,Carpet Area,"Himayath Nagar, NH 7",Hyderabad,Semi-Furnished,Bachelors/Family,3.0,Contact Agent
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Valdsic,1550,2.0,83.0,4/30/22,2.0,7000.0,800.0,2 out of 3,Super Area,Chandrayanguttabalguda,Hyderabad,Unfurnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Akshayanagara West,2 BHK,Ajomaa ,1205,2.0,60.0,7/6/22,3.0,25000.0,1600.0,2 out of 5,Super Area,"Sanath Nagar, NH 9",Hyderabad,Furnished,Bachelors/Family,3.0,Contact Owner
Super built-up  Area,Ready To Move,Kambipura,3 BHK,Prrtht ,1082,1.0,55.0,6/2/22,1.0,9000.0,500.0,1 out of 5,Super Area,"Miyapur, NH 9",Hyderabad,Unfurnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Ayaya A,1215,2.0,52.85,5/16/22,3.0,16000.0,1500.0,2 out of 3,Carpet Area,"Pragathi Nagar, Kukatpally",Hyderabad,Furnished,Family,3.0,Contact Owner
Super built-up  Area,Ready To Move,Hebbal,4 BHK,Prersis,2483,2.0,230.0,5/6/22,1.0,10500.0,650.0,1 out of 3,Super Area,"Banjara Hills, NH 9",Hyderabad,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
Plot  Area,18-Jul,Prasanth Extension,2 Bedroom,,1200,1.0,46.14,7/6/22,4.0,100000.0,3300.0,Ground out of 14,Carpet Area,"Vittal Rao Nagar, Hitech City",Hyderabad,Semi-Furnished,Family,4.0,Contact Agent
Super built-up  Area,Ready To Move,Chikkathoguru,1 BHK,,1500,1.0,19.5,6/26/22,2.0,9000.0,1200.0,Ground out of 1,Super Area,"Boduppal, NH 2 2",Hyderabad,Unfurnished,Bachelors/Family,2.0,Contact Owner
Plot  Area,18-May,1st Block Koramangala,4 Bedroom,,2360,2.0,600.0,6/14/22,2.0,11000.0,800.0,2 out of 3,Super Area,Ram nagar,Hyderabad,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Ardendale,4 BHK,AWharde,3198,,250.0,5/6/22,3.0,24000.0,1200.0,1 out of 3,Super Area,"Kachiguda, NH 2 2",Hyderabad,Semi-Furnished,Bachelors/Family,4.0,Contact Owner
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1452,3.0,60.98,5/6/22,2.0,12000.0,1000.0,2 out of 3,Super Area,"Nallagandla, Serilingampally",Hyderabad,Unfurnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,18-Apr,Electronic City Phase II,3 BHK,MJtroty,1329,2.0,41.0,7/2/22,2.0,20000.0,1600.0,1 out of 2,Super Area,Kothapet,Hyderabad,Unfurnished,Family,3.0,Contact Owner
Super built-up  Area,Ready To Move,Doctors Layout,2 BHK,,1125,1.0,44.0,7/3/22,2.0,24000.0,1200.0,1 out of 3,Carpet Area,Dr A.S. Rao Nagar,Hyderabad,Furnished,Bachelors/Family,2.0,Contact Owner
Plot  Area,Ready To Move,Anand nagar,2 Bedroom,,1200,0.0,70.0,7/5/22,2.0,12000.0,1100.0,2 out of 2,Super Area,"Balapur X road,Triveni nagar",Hyderabad,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,,1350,3.0,39.97,7/10/22,3.0,12000.0,1250.0,2 out of 6,Carpet Area,Alwal,Hyderabad,Semi-Furnished,Family,3.0,Contact Owner
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Niiewem,1125 - 1500,0.0,51.19,6/25/22,2.0,10000.0,1100.0,Ground out of 2,Carpet Area,Gajularamaram,Hyderabad,Unfurnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,19-Oct,Hebbal,3 BHK,SNontle,2600,2.0,195.0,7/8/22,2.0,45000.0,1600.0,1 out of 6,Super Area,Kattedan Rd,Hyderabad,Furnished,Bachelors/Family,2.0,Contact Owner
Plot  Area,Ready To Move,West of Chord Road,2 Bedroom,,1200,1.0,160.0,6/16/22,2.0,22000.0,1000.0,2 out of 2,Super Area,Gachibowli,Hyderabad,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Built-up  Area,18-Dec,Electronic City Phase II,3 BHK,Sryalan,1220,1.0,35.23,5/6/22,1.0,6500.0,455.0,2 out of 3,Super Area,Bandlaguda Jagir,Hyderabad,Unfurnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Pai Layout,2 BHK,Kencyes,1255,1.0,80.0,5/25/22,3.0,40000.0,1473.0,23 out of 23,Super Area,"Kukatpally, NH 9",Hyderabad,Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,ETens G,1904,3.0,155.0,7/2/22,5.0,300000.0,4050.0,Ground out of 5,Super Area,"Bandlaguda Jagir,, Hyderabad",Hyderabad,Unfurnished,Bachelors/Family,4.0,Contact Owner
Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,,1329,2.0,70.0,6/25/22,1.0,4000.0,400.0,Ground out of 1,Super Area,Borabanda,Hyderabad,Unfurnished,Bachelors/Family,1.0,Contact Owner
Plot  Area,Ready To Move,Chandapura,2 Bedroom,,1200,1.0,60.0,6/29/22,2.0,12000.0,1300.0,1 out of 2,Super Area,"Gandhamguda, Bairagiguda",Hyderabad,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Murugeshpalya,3 BHK,IBaveen,2135,2.0,160.0,7/6/22,4.0,27000.0,2520.0,2 out of 2,Carpet Area,Defence Colony Layout,Hyderabad,Semi-Furnished,Family,5.0,Contact Owner
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,,2770,3.0,315.0,6/22/22,1.0,10000.0,500.0,2 out of 5,Super Area,Gachibowli,Hyderabad,Furnished,Bachelors/Family,1.0,Contact Owner
Built-up  Area,19-Dec,"Hoodi Circle, ",1 BHK,,813,1.0,39.0,5/6/22,2.0,10000.0,200.0,Ground out of 2,Super Area,"Pathar Gatti, NH 7",Hyderabad,Unfurnished,Bachelors/Family,1.0,Contact Owner
Plot  Area,Ready To Move,Junnasandra,4 Bedroom,,3884,3.0,240.0,5/12/22,2.0,10000.0,1200.0,Ground out of 1,Super Area,Upperpally,Hyderabad,Unfurnished,Bachelors/Family,2.0,Contact Owner
Plot  Area,Ready To Move,Doddaballapur,3 Bedroom,,3876,1.0,300.0,7/7/22,3.0,18000.0,1950.0,2 out of 5,Super Area,Toli Chowki,Hyderabad,Semi-Furnished,Bachelors/Family,3.0,Contact Owner
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,PrncyRe,800,2.0,30.0,7/10/22,1.0,14500.0,500.0,2 out of 5,Carpet Area,Kondapur,Hyderabad,Semi-Furnished,Bachelors,1.0,Contact Agent
Plot  Area,Ready To Move,Handenahalli,4 Bedroom,,4750,1.0,120.0,5/1/22,1.0,9000.0,500.0,3 out of 3,Super Area,"Miyapur, NH 9",Hyderabad,Unfurnished,Bachelors/Family,3.0,Contact Owner
Super built-up  Area,Ready To Move,Hormavu,3 BHK,Ocock R,1500,3.0,70.0,7/6/22,2.0,14000.0,1150.0,1 out of 3,Super Area,Bandlaguda Jagir,Hyderabad,Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1880,2.0,95.0,6/2/22,2.0,18000.0,242.0,Ground out of 4,Super Area,"APHB Colony-Moula Ali, Moula Ali Road",Hyderabad,Unfurnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Electronic City,3 BHK,Pa II E,1440,2.0,55.0,7/2/22,2.0,9500.0,720.0,5 out of 7,Carpet Area,"Pocharam, NH 2 2",Hyderabad,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1575,,90.0,6/10/22,3.0,49000.0,1800.0,19 out of 30,Super Area,Nanakram Guda,Hyderabad,Unfurnished,Bachelors,3.0,Contact Agent
Super built-up  Area,Ready To Move,Banagiri Nagar,3 BHK,,1630,2.0,97.78,5/13/22,1.0,9000.0,450.0,1 out of 3,Super Area,"Chandulal bela colony, shahalibanda",Hyderabad,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,,1180,1.0,55.0,5/6/22,2.0,130000.0,130.0,1 out of 1,Super Area,Lal Darwaza,Hyderabad,Unfurnished,Bachelors/Family,2.0,Contact Owner
Built-up  Area,Ready To Move,Nagadevanahalli,2 BHK,,1090,1.0,36.0,6/2/22,2.0,8000.0,690.0,2 out of 4,Super Area,New Malakpet,Hyderabad,Unfurnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,NGR Layout,2 BHK,,1020,2.0,48.45,5/6/22,2.0,13000.0,1000.0,2 out of 4,Super Area,Madhapur,Hyderabad,Furnished,Bachelors/Family,2.0,Contact Owner
Built-up  Area,Ready To Move,"Sarjapur Road, ",4 BHK,,2425,3.0,173.0,5/6/22,3.0,18000.0,1500.0,Ground out of 4,Super Area,Shivaji Nagar,Hyderabad,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,18-Mar,Varthur,2 BHK,Hirio L,1097,1.0,33.82,5/29/22,3.0,18000.0,1150.0,Ground out of 6,Super Area,New Nallakunta,Hyderabad,Semi-Furnished,Bachelors/Family,3.0,Contact Owner
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Sithand,1070,1.0,50.0,5/29/22,3.0,32000.0,1783.0,1 out of 5,Super Area,Gopanapalli,Hyderabad,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Kumaraswami Layout,2 BHK,Mania G,1000,1.0,58.0,5/25/22,2.0,15000.0,900.0,1 out of 3,Super Area,Santosh Nagar,Hyderabad,Unfurnished,Bachelors/Family,2.0,Contact Owner
Plot  Area,Ready To Move,Hoodi,8 Bedroom,,1120,,150.0,7/6/22,3.0,35000.0,1725.0,2 out of 13,Super Area,"Narsingi, Outer Ring Road",Hyderabad,Furnished,Bachelors/Family,3.0,Contact Owner
Super built-up  Area,18-Apr,manyata tech park,2 BHK,,1150,1.0,56.0,5/25/22,1.0,6000.0,680.0,Ground out of 3,Carpet Area,Bapu Nagar-Langar Houz,Hyderabad,Unfurnished,Bachelors/Family,1.0,Contact Owner
Built-up  Area,Ready To Move,Frazer Town,3 BHK,Clint E,1900,2.0,145.0,6/6/22,1.0,9000.0,550.0,2 out of 3,Super Area,"Uppal, NH 2 2",Hyderabad,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Divya Unnathi Layout,2 BHK,,1141,2.0,49.0,5/25/22,2.0,9500.0,1290.0,1 out of 2,Super Area,"Jillelguda, Medbowli",Hyderabad,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsen,937,1.0,44.0,5/10/22,2.0,12500.0,1450.0,Ground out of 2,Super Area,"Arvind Nagar Colony, Toli Chowki",Hyderabad,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Built-up  Area,Ready To Move,Green Glen Layout,2 BHK,Blisera,1075,1.0,60.0,5/6/22,2.0,25000.0,1300.0,3 out of 3,Super Area,Madhapur,Hyderabad,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,18-Feb,Panathur,2 BHK,,1000,1.0,65.3,5/12/22,2.0,15000.0,1450.0,2 out of 4,Super Area,Nagole,Hyderabad,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,,1450,,77.41,7/6/22,3.0,38000.0,1496.0,10 out of 15,Carpet Area,Kondapur,Hyderabad,Semi-Furnished,Bachelors,2.0,Contact Agent
Plot  Area,Ready To Move,Yelachenahalli,5 Bedroom,,897,1.0,85.0,5/31/22,3.0,20000.0,1850.0,1 out of 5,Super Area,Kompally,Hyderabad,Semi-Furnished,Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Ashwathnagar,2 BHK,GMentAp,936,2.0,43.0,6/14/22,3.0,15000.0,1600.0,2 out of 4,Carpet Area,Old Bowenpally,Hyderabad,Semi-Furnished,Bachelors/Family,3.0,Contact Owner
Built-up  Area,Ready To Move,Gopalkrishna Nagar,2 BHK,,1280,1.0,75.0,7/6/22,3.0,130000.0,3500.0,3 out of 5,Carpet Area,Jubilee Hills,Hyderabad,Semi-Furnished,Family,3.0,Contact Agent
Super built-up  Area,Ready To Move,Babusapalaya,2 BHK,,1050,3.0,45.0,7/8/22,3.0,27000.0,1850.0,5 out of 6,Super Area,"Red Hills, Lakdikapul, NH 7",Hyderabad,Semi-Furnished,Bachelors/Family,3.0,Contact Owner
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Asintas,1350,1.0,86.0,7/2/22,2.0,16000.0,1210.0,3 out of 5,Super Area,Secunderabad,Hyderabad,Unfurnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Mallasandra,2 BHK,GMilse ,1325,1.0,70.0,6/6/22,2.0,13000.0,1400.0,Ground out of 1,Super Area,"Mallampet, Outer Ring Road",Hyderabad,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,18-Apr,Devanahalli,2 BHK,Oznuean,1174,1.0,59.0,6/4/22,2.0,10000.0,950.0,Ground out of 4,Super Area,"Uppal, NH 2 2",Hyderabad,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Hosur Road,3 BHK,Saageat,1890,2.0,162.0,6/22/22,2.0,10000.0,878.0,3 out of 4,Super Area,Malkajgiri,Hyderabad,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Wilson Garden,1 BHK,,735,1.0,75.0,5/6/22,2.0,17000.0,875.0,2 out of 6,Super Area,"Bolarum, Medchal Road",Hyderabad,Unfurnished,Bachelors/Family,2.0,Contact Owner
Built-up  Area,Ready To Move,Sarvabhouma Nagar,1 BHK,,500,0.0,24.0,6/2/22,2.0,12500.0,300.0,3 out of 4,Super Area,"Vanasthalipuram, NH 9",Hyderabad,Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Gottigere,3 BHK,,1304,3.0,80.0,6/14/22,3.0,25000.0,1800.0,4 out of 5,Super Area,Nizampet,Hyderabad,Furnished,Bachelors/Family,3.0,Contact Owner
Built-up  Area,Ready To Move,Yelahanka,3 BHK,Niareum,1653,2.0,120.0,7/2/22,3.0,35000.0,1956.0,1 out of 9,Super Area,"Miyapur, NH 9",Hyderabad,Semi-Furnished,Bachelors,3.0,Contact Owner
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,1.0,52.0,5/25/22,2.0,12000.0,800.0,2 out of 4,Super Area,"Kachiguda, NH 2 2",Hyderabad,Unfurnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Kaiew L,1212,1.0,42.0,5/29/22,2.0,12000.0,1175.0,5 out of 5,Super Area,Shamirpet,Hyderabad,Unfurnished,Bachelors/Family,2.0,Contact Owner
Built-up  Area,Ready To Move,Hoysalanagar,2 BHK,Mamesi ,1100,1.0,50.0,6/25/22,2.0,15000.0,1080.0,3 out of 4,Super Area,Anupuram Colony,Hyderabad,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,PhestOn,3436,3.0,500.0,7/6/22,3.0,45000.0,1955.0,1 out of 19,Super Area,Kondapur,Hyderabad,Unfurnished,Bachelors,3.0,Contact Agent
Plot  Area,Ready To Move,SMV layout,3 Bedroom,,1200,0.0,145.0,7/6/22,2.0,20000.0,950.0,1 out of 5,Super Area,Masab Tank,Hyderabad,Unfurnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,,1140,2.0,50.0,7/2/22,2.0,15000.0,800.0,2 out of 3,Super Area,Mehdipatnam,Hyderabad,Unfurnished,Bachelors/Family,2.0,Contact Owner
Plot  Area,Ready To Move,Roopena Agrahara,2 Bedroom,,1200,1.0,100.0,5/6/22,2.0,10000.0,1090.0,2 out of 4,Super Area,"Hyder Shah Kote, Chevella Road",Hyderabad,Unfurnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,1532,2.0,83.0,7/9/22,3.0,15000.0,1450.0,2 out of 5,Carpet Area,Bandari Layout,Hyderabad,Semi-Furnished,Family,3.0,Contact Owner
Plot  Area,Ready To Move,Doddaballapur,3 Bedroom,Vahid O,2776,2.0,195.0,7/7/22,2.0,19800.0,1070.0,3 out of 4,Carpet Area,KPHB Road,Hyderabad,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Padmanabhanagar,3 BHK,Naasyak,1531,0.0,75.0,5/6/22,2.0,8500.0,60.0,3 out of 5,Super Area,"Gulmohar Park Colony, Serilingampally",Hyderabad,Unfurnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Poorna Pragna Layout,3 BHK,,1270,2.0,50.79,7/6/22,4.0,130000.0,3133.0,14 out of 14,Carpet Area,"Vittal Rao Nagar, Hitech City",Hyderabad,Furnished,Family,5.0,Contact Agent
Super built-up  Area,18-Dec,Uttarahalli,2 BHK,DSera S,1325,1.0,53.0,7/10/22,1.0,8500.0,900.0,2 out of 2,Carpet Area,in Trimulgherry,Hyderabad,Unfurnished,Family,1.0,Contact Owner
Plot  Area,Ready To Move,CQAL LAYOUT C BLOCK,3 Bedroom,,1200,1.0,160.0,5/16/22,1.0,4500.0,60.0,1 out of 2,Super Area,"Hayathnagar, NH 9",Hyderabad,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,17-Apr,Electronic City,3 BHK,Sie 2is,1156,2.0,44.0,6/10/22,2.0,9000.0,600.0,3 out of 4,Super Area,Kapra,Hyderabad,Unfurnished,Bachelors/Family,2.0,Contact Owner
Plot  Area,Ready To Move,R.T. Nagar,4 Bedroom,,2000,2.0,320.0,7/10/22,1.0,13000.0,750.0,3 out of 3,Carpet Area,Hyderaguda-Attapur,Hyderabad,Semi-Furnished,Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,SNity S,1260,2.0,70.0,7/6/22,2.0,18000.0,900.0,2 out of 4,Super Area,Jubilee Hills,Hyderabad,Unfurnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1934,0.0,90.0,7/4/22,3.0,26000.0,1800.0,2 out of 4,Carpet Area,filmnagar. hydrabad,Hyderabad,Semi-Furnished,Bachelors/Family,3.0,Contact Owner
Super built-up  Area,Ready To Move,Malleshpalya,2 BHK,,1060,1.0,40.0,5/20/22,1.0,17000.0,470.0,3 out of 5,Super Area,Kondapur,Hyderabad,Furnished,Bachelors/Family,1.0,Contact Agent
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMonymp,1476,1.0,95.0,5/6/22,2.0,9000.0,720.0,1 out of 3,Super Area,"Beeramguda, Ramachandra Puram, NH 9",Hyderabad,Unfurnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Murugeshpalya,2 BHK,Rallaa ,1185,1.0,85.0,5/12/22,1.0,8000.0,450.0,Ground out of 3,Super Area,"Somajiguda, NH 9",Hyderabad,Unfurnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Channasandra Layout,3 BHK,Aconyit,1265,1.0,82.0,7/6/22,2.0,10000.0,600.0,7 out of 7,Super Area,Madhura Nagar-Nizampet,Hyderabad,Unfurnished,Bachelors/Family,2.0,Contact Owner
Built-up  Area,18-May,"Near Electronic City, ",4 BHK,,3200,1.0,150.0,6/26/22,2.0,12000.0,1100.0,1 out of 1,Super Area,"Hyder Shah Kote, Chevella Road",Hyderabad,Unfurnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Virat Nagar,2 BHK,,1196,2.0,56.81,6/27/22,2.0,14000.0,1300.0,3 out of 3,Super Area,IAS Colony,Hyderabad,Unfurnished,Bachelors/Family,2.0,Contact Owner
Built-up  Area,Ready To Move,EPIP Zone,2 BHK,,1280,1.0,69.0,6/25/22,2.0,25000.0,1500.0,Ground out of 2,Super Area,Bowenpally,Hyderabad,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Plot  Area,Ready To Move,Marathahalli,4 Bedroom,,800,2.0,86.0,7/5/22,2.0,22000.0,1200.0,4 out of 8,Super Area,Gachibowli,Hyderabad,Furnished,Bachelors/Family,2.0,Contact Owner
Built-up  Area,Ready To Move,Hulimavu,2 BHK,VisicCl,1175,,45.0,5/29/22,4.0,45000.0,3000.0,3 out of 4,Super Area,Hitech City,Hyderabad,Semi-Furnished,Bachelors/Family,4.0,Contact Owner
Built-up  Area,Ready To Move,Kacharakanahalli,3 BHK,,1850,3.0,98.0,6/26/22,3.0,20000.0,2000.0,1 out of 1,Carpet Area,Kapra,Hyderabad,Semi-Furnished,Bachelors/Family,3.0,Contact Owner
Plot  Area,Ready To Move,Indira Nagar,4 Bedroom,,2400,2.0,525.0,6/14/22,2.0,16000.0,800.0,2 out of 4,Super Area,"Lakdikapul, NH 9",Hyderabad,Unfurnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Pae 1ov,1195,1.0,70.0,7/8/22,3.0,35000.0,1000.0,3 out of 6,Carpet Area,Nizampet,Hyderabad,Semi-Furnished,Bachelors/Family,3.0,Contact Owner
Super built-up  Area,Ready To Move,Ulsoor,3 BHK,,2000,3.0,185.0,5/12/22,2.0,15000.0,1200.0,2 out of 3,Super Area,"Manikonda, Outer Ring Road",Hyderabad,Unfurnished,Bachelors/Family,2.0,Contact Owner
Carpet  Area,Ready To Move,Veerannapalya,7 BHK,,600,0.0,100.0,6/18/22,1.0,5500.0,400.0,1 out of 2,Super Area,"Ramanthapur, NH 2 2",Hyderabad,Unfurnished,Bachelors/Family,1.0,Contact Builder
Plot  Area,18-Feb,Hebbal Kempapura,4 Bedroom,,800,3.0,155.0,6/4/22,3.0,35000.0,1250.0,4 out of 5,Carpet Area,"Somajiguda, NH 9",Hyderabad,Unfurnished,Bachelors,2.0,Contact Owner
Super built-up  Area,Ready To Move,Hosur Road,2 BHK,Collsrn,1180,2.0,36.5,7/4/22,1.0,14000.0,700.0,5 out of 5,Carpet Area,"Chanda Naik Nagar, Madhapur",Hyderabad,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Jakkur,2 BHK,Elidet ,1050,1.0,49.87,7/6/22,2.0,25000.0,1100.0,1 out of 5,Super Area,"Alkapur Township, Hyderabad",Hyderabad,Furnished,Bachelors/Family,2.0,Contact Owner
Built-up  Area,18-Dec,Electronic City,3 BHK,,1400,1.0,40.44,6/6/22,4.0,36000.0,2050.0,1 out of 3,Super Area,Sainikpuri,Hyderabad,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Plot  Area,17-Dec,Bagalakunte,4 Bedroom,,2360,2.0,150.0,7/6/22,2.0,20000.0,1428.0,4 out of 8,Super Area,"Beeramguda, Ramachandra Puram, NH 9",Hyderabad,Semi-Furnished,Family,2.0,Contact Agent
Super built-up  Area,Ready To Move,Banashankari stage 2,2 BHK,,1030,1.0,77.25,5/22/22,3.0,30000.0,1700.0,3 out of 5,Carpet Area,"Ashok Nagar, Himayath Nagar",Hyderabad,Furnished,Family,3.0,Contact Agent
Super built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,2 BHK,,1512,2.0,65.01,7/2/22,2.0,12000.0,1140.0,2 out of 5,Super Area,"Kismatpur, Outer Ring Road",Hyderabad,Semi-Furnished,Family,2.0,Contact Owner
Built-up  Area,Ready To Move,Subramanyapura,2 BHK,Prldsri,929,1.0,48.0,5/22/22,2.0,16000.0,1000.0,2 out of 5,Super Area,"Ashok Nagar, Himayath Nagar",Hyderabad,Semi-Furnished,Bachelors/Family,2.0,Contact Agent
Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsen,1252,3.0,61.0,6/3/22,2.0,13000.0,1160.0,3 out of 5,Super Area,"Pragathi Nagar, Kukatpally",Hyderabad,Unfurnished,Bachelors,2.0,Contact Owner
Built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soionar,1485,2.0,115.0,7/5/22,3.0,22000.0,3000.0,3 out of 5,Carpet Area,sri sai arcade madinaguda,Hyderabad,Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,Courf T,1124,2.0,55.0,7/6/22,1.0,15000.0,450.0,1 out of 3,Super Area,Madhapur,Hyderabad,Unfurnished,Family,1.0,Contact Agent
Plot  Area,Ready To Move,TC Palaya,6 Bedroom,,2400,3.0,370.0,5/6/22,3.0,14000.0,1540.0,2 out of 5,Super Area,Attapur,Hyderabad,Unfurnished,Bachelors/Family,2.0,Contact Owner
Built-up  Area,Ready To Move,Indira Nagar,3 BHK,,1407,1.0,120.0,5/6/22,2.0,8000.0,1000.0,2 out of 8,Super Area,"Saroornagar, NH 9",Hyderabad,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,19-Mar,Hennur Road,3 BHK,Puachal,1482,3.0,97.0,7/6/22,3.0,57000.0,1417.0,7 out of 30,Carpet Area,Nanakaramguda,Hyderabad,Furnished,Bachelors,3.0,Contact Agent
Super built-up  Area,Ready To Move,Sector 7 HSR Layout,2 BHK,,1163,1.0,98.86,5/31/22,3.0,1200.0,2100.0,1 out of 3,Carpet Area,"Uppal, NH 2 2",Hyderabad,Furnished,Bachelors/Family,3.0,Contact Owner
Super built-up  Area,Ready To Move,Jalahalli,3 BHK,BrardCo,1570,2.0,140.0,7/8/22,2.0,8000.0,550.0,4 out of 4,Carpet Area,Ram nagar,Hyderabad,Unfurnished,Bachelors,1.0,Contact Owner
Super built-up  Area,18-Feb,Whitefield,3 BHK,BrlisCo,3480,,284.0,5/18/22,3.0,15000.0,1600.0,1 out of 5,Super Area,"Miyapur, NH 9",Hyderabad,Semi-Furnished,Bachelors/Family,3.0,Contact Owner
